Seed,Episode,Steps
42,0,200
42,1,200
42,2,200
42,3,200
42,4,200
42,5,200
42,6,200
42,7,96
42,8,200
42,9,200
42,10,200
42,11,200
42,12,53
42,13,200
42,14,200
42,15,200
42,16,200
42,17,200
42,18,32
42,19,200
42,20,200
42,21,200
42,22,200
42,23,200
42,24,156
42,25,200
42,26,12
42,27,39
42,28,20
42,29,200
42,30,200
42,31,200
42,32,200
42,33,200
42,34,15
42,35,200
42,36,200
42,37,200
42,38,200
42,39,200
42,40,200
42,41,28
42,42,200
42,43,7
42,44,200
42,45,200
42,46,8
42,47,200
42,48,200
42,49,200
42,50,200
42,51,200
42,52,200
42,53,21
42,54,200
42,55,133
42,56,200
42,57,200
42,58,28
42,59,200
42,60,200
42,61,200
42,62,200
42,63,200
42,64,50
42,65,200
42,66,200
42,67,200
42,68,200
42,69,11
42,70,12
42,71,200
42,72,200
42,73,11
42,74,200
42,75,37
42,76,200
42,77,7
42,78,200
42,79,200
42,80,200
42,81,200
42,82,176
42,83,200
42,84,6
42,85,11
42,86,94
42,87,200
42,88,200
42,89,10
42,90,68
42,91,200
42,92,200
42,93,200
42,94,200
42,95,14
42,96,200
42,97,23
42,98,200
42,99,200
42,100,10
42,101,200
42,102,200
42,103,200
42,104,200
42,105,200
42,106,200
42,107,200
42,108,10
42,109,200
42,110,21
42,111,200
42,112,200
42,113,200
42,114,8
42,115,11
42,116,200
42,117,200
42,118,9
42,119,200
42,120,200
42,121,12
42,122,200
42,123,10
42,124,34
42,125,15
42,126,200
42,127,28
42,128,200
42,129,16
42,130,200
42,131,200
42,132,172
42,133,200
42,134,200
42,135,10
42,136,200
42,137,200
42,138,200
42,139,200
42,140,49
42,141,200
42,142,20
42,143,15
42,144,200
42,145,200
42,146,200
42,147,200
42,148,200
42,149,200
42,150,13
42,151,200
42,152,200
42,153,34
42,154,175
42,155,200
42,156,200
42,157,18
42,158,200
42,159,200
42,160,200
42,161,25
42,162,200
42,163,200
42,164,17
42,165,29
42,166,9
42,167,12
42,168,200
42,169,90
42,170,200
42,171,200
42,172,200
42,173,200
42,174,200
42,175,15
42,176,33
42,177,200
42,178,200
42,179,200
42,180,9
42,181,200
42,182,17
42,183,200
42,184,200
42,185,11
42,186,16
42,187,200
42,188,121
42,189,200
42,190,10
42,191,41
42,192,200
42,193,14
42,194,200
42,195,200
42,196,200
42,197,200
42,198,15
42,199,9
42,200,16
42,201,200
42,202,200
42,203,200
42,204,200
42,205,162
42,206,200
42,207,200
42,208,9
42,209,200
42,210,200
42,211,110
42,212,11
42,213,200
42,214,25
42,215,200
42,216,200
42,217,200
42,218,200
42,219,200
42,220,200
42,221,9
42,222,9
42,223,13
42,224,8
42,225,9
42,226,200
42,227,200
42,228,200
42,229,19
42,230,12
42,231,200
42,232,200
42,233,19
42,234,6
42,235,10
42,236,13
42,237,200
42,238,153
42,239,13
42,240,200
42,241,200
42,242,200
42,243,200
42,244,200
42,245,200
42,246,200
42,247,200
42,248,200
42,249,200
42,250,200
42,251,200
42,252,183
42,253,19
42,254,200
42,255,18
42,256,200
42,257,200
42,258,200
42,259,200
42,260,200
42,261,200
42,262,200
42,263,11
42,264,25
42,265,200
42,266,11
42,267,16
42,268,200
42,269,200
42,270,200
42,271,200
42,272,200
42,273,200
42,274,11
42,275,200
42,276,200
42,277,200
42,278,200
42,279,15
42,280,200
42,281,200
42,282,8
42,283,200
42,284,200
42,285,200
42,286,200
42,287,200
42,288,200
42,289,9
42,290,200
42,291,200
42,292,10
42,293,200
42,294,200
42,295,200
42,296,200
42,297,200
42,298,200
42,299,200
42,300,200
42,301,200
42,302,14
42,303,200
42,304,200
42,305,200
42,306,200
42,307,200
42,308,13
42,309,11
42,310,200
42,311,200
42,312,60
42,313,200
42,314,200
42,315,200
42,316,200
42,317,9
42,318,18
42,319,16
42,320,17
42,321,200
42,322,200
42,323,200
42,324,17
42,325,200
42,326,13
42,327,200
42,328,200
42,329,16
42,330,12
42,331,15
42,332,200
42,333,200
42,334,15
42,335,13
42,336,20
42,337,15
42,338,16
42,339,200
42,340,200
42,341,200
42,342,200
42,343,200
42,344,120
42,345,10
42,346,200
42,347,200
42,348,13
42,349,8
42,350,200
42,351,21
42,352,9
42,353,200
42,354,15
42,355,200
42,356,21
42,357,200
42,358,200
42,359,200
42,360,200
42,361,7
42,362,13
42,363,200
42,364,14
42,365,200
42,366,200
42,367,200
42,368,200
42,369,200
42,370,12
42,371,9
42,372,12
42,373,200
42,374,200
42,375,200
42,376,200
42,377,200
42,378,10
42,379,17
42,380,14
42,381,200
42,382,200
42,383,200
42,384,16
42,385,200
42,386,200
42,387,200
42,388,200
42,389,50
42,390,16
42,391,200
42,392,200
42,393,20
42,394,62
42,395,200
42,396,15
42,397,200
42,398,200
42,399,8
42,400,200
42,401,200
42,402,200
42,403,15
42,404,200
42,405,200
42,406,200
42,407,200
42,408,200
42,409,200
42,410,200
42,411,200
42,412,200
42,413,200
42,414,200
42,415,16
42,416,200
42,417,34
42,418,16
42,419,200
42,420,200
42,421,200
42,422,109
42,423,200
42,424,19
42,425,200
42,426,9
42,427,200
42,428,9
42,429,200
42,430,10
42,431,200
42,432,200
42,433,19
42,434,200
42,435,200
42,436,200
42,437,42
42,438,14
42,439,200
42,440,16
42,441,200
42,442,200
42,443,20
42,444,200
42,445,200
42,446,200
42,447,200
42,448,200
42,449,26
42,450,200
42,451,79
42,452,200
42,453,200
42,454,17
42,455,200
42,456,11
42,457,18
42,458,135
42,459,11
42,460,10
42,461,200
42,462,200
42,463,200
42,464,13
42,465,200
42,466,14
42,467,10
42,468,200
42,469,200
42,470,7
42,471,13
42,472,200
42,473,16
42,474,112
42,475,14
42,476,200
42,477,29
42,478,13
42,479,200
42,480,200
42,481,200
42,482,12
42,483,14
42,484,11
42,485,200
42,486,200
42,487,200
42,488,200
42,489,22
42,490,16
42,491,18
42,492,13
42,493,200
42,494,7
42,495,200
42,496,22
42,497,15
42,498,16
42,499,200
42,500,11
42,501,200
42,502,200
42,503,200
42,504,18
42,505,14
42,506,178
42,507,18
42,508,200
42,509,14
42,510,200
42,511,200
42,512,200
42,513,200
42,514,73
42,515,18
42,516,200
42,517,200
42,518,14
42,519,14
42,520,46
42,521,18
42,522,10
42,523,11
42,524,200
42,525,200
42,526,200
42,527,200
42,528,200
42,529,200
42,530,14
42,531,200
42,532,200
42,533,12
42,534,200
42,535,200
42,536,18
42,537,200
42,538,7
42,539,200
42,540,200
42,541,200
42,542,200
42,543,200
42,544,9
42,545,200
42,546,200
42,547,76
42,548,200
42,549,200
42,550,200
42,551,200
42,552,200
42,553,200
42,554,200
42,555,8
42,556,200
42,557,200
42,558,200
42,559,200
42,560,200
42,561,200
42,562,200
42,563,200
42,564,200
42,565,11
42,566,11
42,567,200
42,568,200
42,569,11
42,570,200
42,571,200
42,572,200
42,573,200
42,574,200
42,575,200
42,576,200
42,577,20
42,578,200
42,579,200
42,580,200
42,581,10
42,582,200
42,583,200
42,584,200
42,585,200
42,586,200
42,587,200
42,588,12
42,589,200
42,590,200
42,591,12
42,592,74
42,593,15
42,594,200
42,595,200
42,596,200
42,597,200
42,598,200
42,599,200
42,600,9
42,601,29
42,602,200
42,603,200
42,604,200
42,605,192
42,606,200
42,607,200
42,608,200
42,609,200
42,610,15
42,611,200
42,612,12
42,613,59
42,614,200
42,615,80
42,616,13
42,617,200
42,618,200
42,619,18
42,620,167
42,621,200
42,622,8
42,623,200
42,624,14
42,625,200
42,626,12
42,627,200
42,628,200
42,629,200
42,630,26
42,631,10
42,632,200
42,633,200
42,634,200
42,635,200
42,636,200
42,637,200
42,638,200
42,639,10
42,640,200
42,641,14
42,642,200
42,643,200
42,644,200
42,645,19
42,646,200
42,647,119
42,648,27
42,649,15
42,650,200
42,651,17
42,652,200
42,653,200
42,654,200
42,655,200
42,656,200
42,657,200
42,658,18
42,659,200
42,660,200
42,661,200
42,662,200
42,663,200
42,664,16
42,665,200
42,666,200
42,667,200
42,668,200
42,669,200
42,670,200
42,671,200
42,672,10
42,673,200
42,674,200
42,675,200
42,676,200
42,677,200
42,678,15
42,679,200
42,680,200
42,681,200
42,682,200
42,683,200
42,684,200
42,685,200
42,686,200
42,687,14
42,688,13
42,689,10
42,690,200
42,691,200
42,692,11
42,693,200
42,694,200
42,695,158
42,696,13
42,697,200
42,698,12
42,699,200
42,700,200
42,701,11
42,702,11
42,703,200
42,704,200
42,705,10
42,706,200
42,707,200
42,708,172
42,709,200
42,710,200
42,711,19
42,712,200
42,713,200
42,714,200
42,715,200
42,716,200
42,717,200
42,718,200
42,719,9
42,720,200
42,721,7
42,722,200
42,723,200
42,724,200
42,725,200
42,726,200
42,727,157
42,728,200
42,729,12
42,730,14
42,731,200
42,732,11
42,733,200
42,734,14
42,735,200
42,736,200
42,737,11
42,738,200
42,739,200
42,740,200
42,741,200
42,742,200
42,743,12
42,744,200
42,745,200
42,746,200
42,747,200
42,748,200
42,749,200
42,750,200
42,751,14
42,752,12
42,753,13
42,754,200
42,755,200
42,756,13
42,757,200
42,758,200
42,759,200
42,760,200
42,761,200
42,762,12
42,763,200
42,764,200
42,765,200
42,766,200
42,767,200
42,768,200
42,769,200
42,770,200
42,771,15
42,772,10
42,773,200
42,774,200
42,775,200
42,776,200
42,777,13
42,778,200
42,779,200
42,780,200
42,781,200
42,782,200
42,783,12
42,784,200
42,785,200
42,786,200
42,787,11
42,788,200
42,789,200
42,790,200
42,791,200
42,792,200
42,793,200
42,794,200
42,795,200
42,796,17
42,797,200
42,798,14
42,799,200
42,800,200
42,801,200
42,802,200
42,803,200
42,804,200
42,805,200
42,806,200
42,807,200
42,808,200
42,809,200
42,810,200
42,811,200
42,812,200
42,813,200
42,814,8
42,815,200
42,816,200
42,817,200
42,818,13
42,819,200
42,820,200
42,821,22
42,822,200
42,823,200
42,824,200
42,825,200
42,826,15
42,827,200
42,828,15
42,829,200
42,830,200
42,831,15
42,832,200
42,833,18
42,834,200
42,835,200
42,836,10
42,837,200
42,838,200
42,839,200
42,840,200
42,841,200
42,842,200
42,843,200
42,844,200
42,845,116
42,846,200
42,847,200
42,848,200
42,849,200
42,850,200
42,851,200
42,852,200
42,853,200
42,854,200
42,855,200
42,856,200
42,857,200
42,858,6
42,859,200
42,860,200
42,861,200
42,862,200
42,863,200
42,864,200
42,865,200
42,866,13
42,867,200
42,868,14
42,869,200
42,870,200
42,871,200
42,872,17
42,873,200
42,874,200
42,875,200
42,876,200
42,877,200
42,878,200
42,879,200
42,880,200
42,881,200
42,882,14
42,883,14
42,884,13
42,885,200
42,886,200
42,887,200
42,888,200
42,889,200
42,890,200
42,891,200
42,892,200
42,893,200
42,894,200
42,895,200
42,896,200
42,897,7
42,898,13
42,899,200
42,900,200
42,901,200
42,902,200
42,903,200
42,904,12
42,905,8
42,906,200
42,907,200
42,908,200
42,909,200
42,910,200
42,911,200
42,912,200
42,913,7
42,914,200
42,915,200
42,916,200
42,917,200
42,918,200
42,919,200
42,920,200
42,921,200
42,922,200
42,923,200
42,924,200
42,925,13
42,926,200
42,927,200
42,928,200
42,929,200
42,930,200
42,931,200
42,932,200
42,933,17
42,934,15
42,935,200
42,936,200
42,937,200
42,938,200
42,939,200
42,940,200
42,941,200
42,942,200
42,943,200
42,944,200
42,945,200
42,946,200
42,947,19
42,948,200
42,949,200
42,950,200
42,951,200
42,952,200
42,953,200
42,954,50
42,955,191
42,956,200
42,957,200
42,958,200
42,959,200
42,960,200
42,961,200
42,962,200
42,963,200
42,964,200
42,965,200
42,966,200
42,967,200
42,968,200
42,969,11
42,970,83
42,971,13
42,972,127
42,973,200
42,974,200
42,975,200
42,976,122
42,977,200
42,978,200
42,979,200
42,980,200
42,981,200
42,982,200
42,983,200
42,984,200
42,985,200
42,986,200
42,987,200
42,988,200
42,989,200
42,990,200
42,991,200
42,992,200
42,993,200
42,994,200
42,995,200
42,996,200
42,997,200
42,998,200
42,999,200
42,1000,200
42,1001,200
42,1002,200
42,1003,200
42,1004,200
42,1005,200
42,1006,200
42,1007,200
42,1008,200
42,1009,200
42,1010,200
42,1011,11
42,1012,200
42,1013,200
42,1014,200
42,1015,200
42,1016,11
42,1017,200
42,1018,200
42,1019,200
42,1020,200
42,1021,200
42,1022,200
42,1023,98
42,1024,200
42,1025,200
42,1026,200
42,1027,200
42,1028,200
42,1029,200
42,1030,200
42,1031,12
42,1032,200
42,1033,200
42,1034,200
42,1035,200
42,1036,200
42,1037,200
42,1038,200
42,1039,10
42,1040,200
42,1041,10
42,1042,200
42,1043,200
42,1044,200
42,1045,32
42,1046,200
42,1047,200
42,1048,200
42,1049,200
42,1050,200
42,1051,200
42,1052,200
42,1053,200
42,1054,200
42,1055,200
42,1056,200
42,1057,200
42,1058,200
42,1059,200
42,1060,200
42,1061,200
42,1062,200
42,1063,200
42,1064,200
42,1065,200
42,1066,200
42,1067,200
42,1068,200
42,1069,200
42,1070,200
42,1071,200
42,1072,200
42,1073,200
42,1074,200
42,1075,200
42,1076,200
42,1077,200
42,1078,200
42,1079,28
42,1080,200
42,1081,200
42,1082,200
42,1083,200
42,1084,200
42,1085,200
42,1086,200
42,1087,13
42,1088,200
42,1089,19
42,1090,200
42,1091,200
42,1092,200
42,1093,200
42,1094,200
42,1095,200
42,1096,200
42,1097,200
42,1098,200
42,1099,200
42,1100,200
42,1101,200
42,1102,200
42,1103,200
42,1104,200
42,1105,200
42,1106,200
42,1107,200
42,1108,200
42,1109,200
42,1110,200
42,1111,200
42,1112,200
42,1113,13
42,1114,200
42,1115,200
42,1116,200
42,1117,200
42,1118,200
42,1119,16
42,1120,200
